SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678950.275131, , , , , , , , , 
1712678950.305418, , , , , , , , , 
1712678950.335977, , , , , , , , , 
1712678950.365516, , , , , , -0.007403, , , 
1712678950.396368, , , , , , -0.023551, , , 
1712678950.426626, , , , , , -0.034007, , , 
1712678950.456948, , , , , , -0.048900, , , 
1712678950.487499, , , , , , -0.064295, , , 
1712678950.517576, , , , , , -0.081600, , , 
1712678950.547900, , , , , , -0.095654, , , 
1712678950.578182, , , , , , -0.104227, , , 
1712678950.608494, , , , , , -0.106904, , , 
1712678950.638792, , , , , , -0.105078, , , 
1712678950.669356, , , , , , -0.094548, , , 
1712678950.698858, , , , , , -0.078930, , , 
1712678950.729789, , , , , , -0.065936, , , 
1712678950.759989, , , , , , -0.050457, , , 
1712678950.790291, , , , , , -0.034303, , , 
1712678950.820593, , , , , , -0.016860, , , 
1712678950.850900, , , , , , 0.003118, , , 
1712678950.881239, , , , , , 0.021197, , , 
1712678950.911606, , , , , , 0.041357, , , 
1712678950.941892, , , , , , 0.067146, , , 
1712678950.971814, , , , , , 0.100001, , , 
1712678951.001896, , , , , , 0.133119, , , 
1712678951.031709, , , , , , 0.167268, , , 
1712678951.062548, , , , , , 0.205620, , , 
1712678951.093460, , , , , , 0.240122, , , 
1712678951.123613, , , , , , 0.283997, , , 
1712678951.153918, , , , , , 0.314233, , , 
1712678951.184225, , , , , , 0.340000, , , 
1712678951.214577, , , , , , 0.362425, , , 
1712678951.244825, , , , , , 0.373586, , , 
1712678951.275127, , , , , , 0.376613, , , 
1712678951.305430, , , , , , 0.377188, , , 
1712678951.335732, , , , , , 0.371930, , , 
1712678951.366033, , , , , , 0.365028, , , 
1712678951.396336, , , , , , 0.351282, , , 
1712678951.426641, , , , , , 0.332965, , , 
1712678951.456943, , , , , , 0.309851, , , 
1712678951.487242, , , , , , 0.274247, , , 
1712678951.517576, , , , , , 0.229798, , , 
1712678951.547851, , , , , , 0.177710, , , 
1712678951.578149, , , , , , 0.127600, , , 
1712678951.608476, , , , , , 0.084711, , , 
1712678951.638755, , , , , , 0.047495, , , 
1712678951.669057, , , , , , 0.018578, , , 
1712678951.699359, , , , , , -0.010880, , , 
1712678951.729662, , , , , , -0.034196, , , 
1712678951.760035, , , , , , -0.045122, , , 
1712678951.790268, , , , , , -0.049821, , , 
1712678951.820569, , , , , , -0.051841, , , 
1712678951.850871, , , , , , -0.055846, , , 
1712678951.881145, , , , , , -0.059156, , , 
1712678951.911566, , , , , , -0.061042, , , 
1712678951.941884, , , , , , -0.065657, , , 
1712678951.972174, , , , , , -0.066895, , , 
1712678952.001744, , , , , , -0.060720, , , 
1712678952.032778, , , , , , -0.057823, , , 
1712678952.062526, , , , , , -0.051015, , , 
1712678952.093379, , , , , , -0.046642, , , 
1712678952.123684, , , , , , -0.052602, , , 
1712678952.153895, , , , , , -0.049187, , , 
1712678952.184200, , , , , , -0.042296, , , 
1712678952.214500, , , , , , -0.042316, , , 
1712678952.244801, , , , , , -0.043457, , , 
1712678952.275132, , , , , , -0.052816, , , 
1712678952.305411, , , , , , -0.053620, , , 
1712678952.335706, , , , , , -0.056086, , , 
1712678952.366016, , , , , , -0.059650, , , 
1712678952.396314, , , , , , -0.068370, , , 
1712678952.426616, , , , , , -0.077050, , , 
1712678952.456917, , , , , , -0.084740, , , 
1712678952.487231, , , , , , -0.094565, , , 
1712678952.517526, , , , , , -0.103267, , , 
1712678952.547825, , , , , , -0.113176, , , 
1712678952.578128, , , , , , -0.126199, , , 
1712678952.608467, , , , , , -0.136139, , , 
1712678952.638736, , , , , , -0.148167, , , 
1712678952.669034, , , , , , -0.161394, , , 
1712678952.699337, , , , , , -0.175002, , , 
1712678952.729739, , , , , , -0.190935, , , 
1712678952.760054, , , , , , -0.206810, , , 
1712678952.790245, , , , , , -0.222344, , , 
1712678952.820543, , , , , , -0.207573, , , 
1712678952.850849, , , , , , -0.192515, , , 
1712678952.881153, , , , , , -0.139573, , , 
1712678952.911570, , , , , , -0.078988, , , 
1712678952.941862, , , , , , -0.070129, , , 
1712678952.972150, , , , , , -0.112860, , , 
1712678953.001590, , , , , , -0.158749, , , 
1712678953.032784, , , , , , -0.195270, , , 
1712678953.062457, , , , , , -0.184418, , , 
1712678953.093406, , , , , , -0.125565, , , 
1712678953.123587, , , , , , -0.083476, , , 
1712678953.153860, , , , , , -0.077613, , , 
1712678953.184178, , , , , , -0.039987, , , 
1712678953.214477, , , , , , -0.021398, , , 
1712678953.244780, , , , , , -0.037118, , , 
1712678953.275083, , , , , , -0.066328, , , 
1712678953.305384, , , , , , -0.093969, , , 
1712678953.335685, , , , , , -0.108781, , , 
1712678953.365991, , , , , , -0.099734, , , 
1712678953.396298, , , , , , -0.081461, , , 
1712678953.426597, , , , , , -0.107966, , , 
1712678953.456898, , , , , , -0.139315, , , 
1712678953.487197, , , , , , -0.157929, , , 
1712678953.517500, , , , , , -0.152944, , , 
1712678953.547801, , , , , , -0.169429, , , 
1712678953.578107, , , , , , -0.096046, , , 
1712678953.608411, , , , , , -0.007705, , , 
1712678953.638817, , , , , , 0.046699, , , 
